Name,Gender
Antu,f
Aya,f
Bagbartu,f
Belet-Arbail,f
Belet-Babili,f
Belet-ili,f
Belet-Ninua,f
Belet-parṣi,f
Beltiya,f
Damkina,f
Gula,f
Ištar,f
Ištar_Arbail,f
Ištar_Nineveh,f
Ištar-Aššuritu,f
Ištar-Bit-Kidmuri,f
Ištar-Uruk,f
Kippat-mati,f
Kusu,f
Lamma-RA.BI,f
Laṣ,f
Mullissu,f
Nanaya,f
Ningal,f
Ninkura,f
Nisaba,f
Šala,f
Šarrat-Kidmuri,f
Šarrat-nipha,f
Šeruʾa,f
Tašmetu,f
Tiamat,f
Zarpanitu,f
Anunnaki,g
Igigi,g
Sebettu,g
Adad,m
Amurru,m
Anu,m
Anzu,m
Asalluhi,m
Aššur,m
Atar-samayin,m
Bel,m
Dagan,m
Ea,m
Ea-šarru,m
Enlil,m
Erra,m
Girra,m
Haldi,m
Haya,m
Kakka,m
Kidmuru,m
Kulla,m
Kusibanda,m
Madanu,m
Marduk,m
Nabu,m
Nanna,m
Nergal,m
Ninagal,m
Ninšiku,m
Ninurta,m
Nudimmud,m
Nusku,m
Palil,m
Šakkan,m
Šamaš,m
Šarur,m
Sin,m
Tišpak,m
Uraš,m
Utulu,m
Zababa,m
