Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight
Sargon_II,Aššur,0.354515,,Sennacherib,Aššur,0.546763,,Esarhaddon,Aššur,0.280488,,Ashurbanipal,Aššur,0.265254,,Naqi’a,Šamaš,0.233333
Sargon_II,Šamaš,0.082497,,Sennacherib,Adad,0.05036,,Esarhaddon,Šamaš,0.152439,,Ashurbanipal,Ištar,0.124576,,Naqi’a,Nabu,0.1
Sargon_II,Marduk,0.082497,,Sennacherib,Ištar,0.049161,,Esarhaddon,Marduk,0.098577,,Ashurbanipal,Sin,0.079237,,Naqi’a,Aššur,0.066667
Sargon_II,Adad,0.074693,,Sennacherib,Šamaš,0.045564,,Esarhaddon,Nabu,0.07622,,Ashurbanipal,Nabu,0.06822,,Naqi’a,Sin,0.066667
Sargon_II,Nabu,0.073579,,Sennacherib,Nergal,0.032374,,Esarhaddon,Sin,0.044715,,Ashurbanipal,Bel,0.055508,,Naqi’a,Marduk,0.05
Sargon_II,Enlil,0.055741,,Sennacherib,Sin,0.029976,,Esarhaddon,Bel,0.044715,,Ashurbanipal,Šamaš,0.050847,,Naqi’a,Nanaya,0.05
Sargon_II,Haldi,0.041249,,Sennacherib,Ištar_Nineveh,0.027578,,Esarhaddon,Ištar_Nineveh,0.039634,,Ashurbanipal,Marduk,0.040678,,Naqi’a,Bel,0.033333
Sargon_II,Sin,0.040134,,Sennacherib,Ištar_Arbail,0.026379,,Esarhaddon,Ištar_Arbail,0.035569,,Ashurbanipal,Nusku,0.040254,,Naqi’a,Ea,0.033333
Sargon_II,Ea,0.033445,,Sennacherib,Enlil,0.021583,,Esarhaddon,Enlil,0.030488,,Ashurbanipal,Mullissu,0.035593,,Naqi’a,Ištar_Arbail,0.033333
Sargon_II,Ištar,0.025641,,Sennacherib,Igigi,0.021583,,Esarhaddon,Adad,0.028455,,Ashurbanipal,Nergal,0.035169,,Naqi’a,Ištar_Nineveh,0.033333
Sargon_II,Ninurta,0.023411,,Sennacherib,Ninšiku,0.019185,,Esarhaddon,Ištar,0.022358,,Ashurbanipal,Ištar_Arbail,0.034746,,Naqi’a,Mullissu,0.033333
Sargon_II,Anu,0.021182,,Sennacherib,Ea,0.017986,,Esarhaddon,Nergal,0.019309,,Ashurbanipal,Ištar_Nineveh,0.028814,,Naqi’a,Tašmetu,0.033333
Sargon_II,Mullissu,0.016722,,Sennacherib,Bel,0.016787,,Esarhaddon,Nanaya,0.017276,,Ashurbanipal,Ninurta,0.025847,,Naqi’a,Asalluhi,0.033333
Sargon_II,Bel,0.014493,,Sennacherib,Nabu,0.013189,,Esarhaddon,Zarpanitu,0.014228,,Ashurbanipal,Adad,0.013136,,Naqi’a,Adad,0.016667
Sargon_II,Bagbartu,0.012263,,Sennacherib,Belet-ili,0.010791,,Esarhaddon,Ea,0.009146,,Ashurbanipal,Enlil,0.011864,,Naqi’a,Ištar,0.016667
Sargon_II,Belet-ili,0.011148,,Sennacherib,Mullissu,0.008393,,Esarhaddon,Nisaba,0.00813,,Ashurbanipal,Šarrat-Kidmuri,0.009322,,Naqi’a,Ninurta,0.016667
Sargon_II,Nergal,0.008919,,Sennacherib,Zababa,0.007194,,Esarhaddon,Anu,0.00813,,Ashurbanipal,Ea,0.008475,,Naqi’a,Belet-Arbail,0.016667
Sargon_II,Ištar_Nineveh,0.004459,,Sennacherib,Nanna,0.005995,,Esarhaddon,Ištar-Uruk,0.00813,,Ashurbanipal,Ningal,0.007627,,Naqi’a,Belet-Babili,0.016667
Sargon_II,Ningal,0.004459,,Sennacherib,Haya,0.005995,,Esarhaddon,Kulla,0.007114,,Ashurbanipal,Aya,0.005932,,Naqi’a,Ningal,0.016667
Sargon_II,Ninšiku,0.004459,,Sennacherib,Anu,0.004796,,Esarhaddon,Ninurta,0.006098,,Ashurbanipal,Nanna,0.005932,,Naqi’a,Belet-ili,0.016667
Sargon_II,Nisaba,0.003344,,Sennacherib,Tiamat,0.004796,,Esarhaddon,Atar-samayin,0.006098,,Ashurbanipal,Erra,0.004661,,Naqi’a,Iqbi-damiq,0.016667
Sargon_II,Kulla,0.00223,,Sennacherib,Erra,0.003597,,Esarhaddon,Laṣ,0.006098,,Ashurbanipal,Zarpanitu,0.004661,,Naqi’a,Kusu,0.016667
Sargon_II,Tašmetu,0.00223,,Sennacherib,Šala,0.003597,,Esarhaddon,Mullissu,0.004065,,Ashurbanipal,Kusibanda,0.003814,,Naqi’a,Ningirim,0.016667
Sargon_II,Zarpanitu,0.00223,,Sennacherib,Anunnaki,0.002398,,Esarhaddon,Gula,0.003049,,Ashurbanipal,Atar-samayin,0.00339,,Naqi’a,Banitu,0.016667
Sargon_II,Aya,0.001115,,Sennacherib,Kulla,0.002398,,Esarhaddon,Ninagal,0.003049,,Ashurbanipal,Lamma-RA.BI,0.00339,,Naqi’a,Belet-Ninua,0.016667
Sargon_II,Damkina,0.001115,,Sennacherib,Ninagal,0.002398,,Esarhaddon,Nusku,0.003049,,Ashurbanipal,Ninkura,0.00339,,,,
Sargon_II,Belet-Ninua,0.001115,,Sennacherib,Ningal,0.002398,,Esarhaddon,Tašmetu,0.003049,,Ashurbanipal,Nanaya,0.002966,,,,
Sargon_II,Sebettu,0.001115,,Sennacherib,Šeruʾa,0.002398,,Esarhaddon,Beltiya,0.002033,,Ashurbanipal,Nisaba,0.002542,,,,
