Adad,m
Adad-nerari_II,k
Adad-nerari_III,k
Amurru,m
Antu,f
Anu,m
Anunnaki,g
Anzu,m
Asalluhi,m
Ashurbanipal,k
Ashurnasirpal_II,k
Aššur,m
Aššur-dan_II,k
Aššur-dan_III,k
Aššur-etel-ilani,k
Aššur-nerari_V,k
Atar-samayin,m
Aya,f
Bagbartu,f
Banitu,f
Bel,m
Belet-Arbail,f
Belet-Babili,f
Belet-ili,f
Belet-Ninua,f
Belet-parṣi,f
Beltiya,f
Biṭi,m
Dagan,m
Damkina,f
Ea,m
Ea-šarru,m
Enlil,m
Ereškigal,f
Erra,m
Esarhaddon,k
Ešarra-hammat,q
Gilgameš,m
Girra,m
Gula,f
Haldi,m
Haya,m
Igigi,g
Iqbi-damiq,m
Ištar,f
Ištar_Arbail,f
Ištar_Nineveh,f
Ištar-Aššuritu,f
Ištar-Bit-Kidmuri,f
Ištar-Uruk,f
Kakka,m
Kidmuru,m
Kippat-mati,f
Kulla,m
Kusibanda,m
Kusu,f
Lamma-RA.BI,f
Laṣ,f
Madanu,m
Marduk,m
Mullissu,f
Mullissu-mukannišat-Ninua,q
Nabu,m
Nanaya,f
Nanna,m
Naqi’a,q
Nergal,m
Ninagal,m
Ningal,f
Ningirim,f
Ninkura,f
Ninŋešzidak,m
Ninšiku,m
Ninurta,m
Nisaba,f
Nudimmud,m
Nusku,m
Palil,m
Queen_of_Sin-šarru-iškun,q
Šakkan,m
Šala,f
Šamaš,m
Sammu-ramat,q
Šamši-Adad_V,k
Sargon_II,k
Šarrat-Kidmuri,f
Šarrat-nipha,f
Šarur,m
Sebettu,g
Sennacherib,k
Šeruʾa,f
Shalmaneser_III,k
Shalmaneser_IV,k
Sin,m
Sin-šarru-iškun,k
Tašmetu,f
Tašmetu-šarrat,q
Tiamat,f
Tiglath-pileser_III,k
Tišpak,m
Tukulti-Ninurta_II,k
Uraš,m
Utulu,m
Yaba,q
Zababa,m
Zarpanitu,f
