Source,Source label,Target,Target label,Edge weight
79,Queens,49,Nabu,0.214286
79,Queens,74,Šamaš,0.157143
79,Queens,82,Ereškigal,0.095238
79,Queens,32,Ištar,0.078571
79,Queens,4,Antu,0.057143
79,Queens,11,Aššur,0.057143
79,Queens,83,Gilgameš,0.057143
79,Queens,17,Belet-ili,0.05
79,Queens,6,Anunnaki,0.047619
79,Queens,24,Enlil,0.028571
79,Queens,60,Nudimmud,0.028571
79,Queens,81,Biṭi,0.02381
79,Queens,84,Ninŋešzidak,0.02381
79,Queens,64,Sin,0.009524
79,Queens,47,Marduk,0.007143
79,Queens,50,Nanaya,0.007143
79,Queens,8,Asalluhi,0.004762
79,Queens,13,Bel,0.004762
79,Queens,22,Ea,0.004762
79,Queens,36,Ištar_Arbail,0.004762
79,Queens,37,Ištar_Nineveh,0.004762
79,Queens,48,Mullissu,0.004762
79,Queens,65,Tašmetu,0.004762
79,Queens,2,Adad,0.002381
79,Queens,14,Belet-Arbail,0.002381
79,Queens,15,Belet-Babili,0.002381
79,Queens,16,Belet-Ninua,0.002381
79,Queens,31,Iqbi-damiq,0.002381
79,Queens,43,Kusu,0.002381
79,Queens,54,Ningal,0.002381
79,Queens,55,Ningirim,0.002381
79,Queens,57,Ninurta,0.002381
79,Queens,80,Banitu,0.002381
