Text,Queen
RIMA 3 A.0.104.3,Sammu-ramat
RIMA 3 A.0.104.2002,Sammu-ramat
RINAP 4 2003,Naqi’a
RINAP 4 2004,Naqi’a
RINAP 4 2005,Naqi’a
RINAP 4 2006,Naqi’a
RINAP 4 2008,Naqi’a
RINAP 4 2010,Naqi’a
SAA 2 8,Naqi’a
SAA 4 151,Naqi’a
SAA 4 190,Naqi’a
SAA 4 191,Naqi’a
SAA 6 31,Atalia
SAA 6 165,Tašmetu-šarrat
SAA 6 253,Naqi’a
SAA 6 310,Libbali-šarrat
SAA 6 329,Libbali-šarrat
SAA 6 330,Libbali-šarrat
SAA 9 1,Naqi’a
SAA 9 2,Naqi’a
SAA 10 16,Naqi’a
SAA 10 109,Naqi’a
SAA 10 154,Naqi’a
SAA 10 188,Ešarra-hammat
SAA 10 200,Naqi’a
SAA 10 201,Naqi’a
SAA 10 223,Naqi’a
SAA 10 244,Naqi’a
SAA 10 274,Naqi’a
SAA 10 297,Naqi’a
SAA 10 313,Naqi’a
SAA 10 348,Naqi’a
SAA 10 352,Substitute queen
SAA 12 81,Ešarra-hammat
SAA 12 94,Libbali-šarrat
SAA 12 96,Queen of Sin-šarru-iškun
SAA 13 61,Naqi’a
SAA 13 76,Naqi’a
SAA 13 77,Naqi’a
SAA 13 188,Naqi’a
SAA 14 1,Libbali-šarrat
SAA 18 10,Naqi’a
SAA 18 85,Naqi’a
SAA 20 34,Ešarra-hammat
