Name,Absolute frequency,Relative frequency
Aššur_d,2445,16.20
Šamaš_d,1688,11.19
Sin_d,1568,10.39
Nabu_d,1254,8.31
Marduk_d,1073,7.11
Bel_d,549,3.64
Adad_d,503,3.33
Ištar_d,484,3.21
Enlil_d,481,3.19
Mullissu_d,312,2.07
Ninurta_d,308,2.04
Nergal_d,268,1.78
Ištar_Nineveh_d,239,1.58
Ištar_Arbail_d,224,1.48
Ea_d,193,1.28
Anu_d,184,1.22
Nusku_d,151,1.00
Zarpanitu_d,144,0.95
Tašmetu_d,138,0.91
Ningal_d,101,0.67
Igigi_d,86,0.57
Belet-ili_d,78,0.52
Gula_d,75,0.50
Anunnaki_d,71,0.47
Nanaya_d,70,0.46
Šeruʾa_d,69,0.46
Ištar-Aššuritu_d,38,0.25
Šarrat-nipha_d,36,0.24
Šala_d,34,0.23
Nisaba_d,32,0.21
Dagan_d,30,0.20
Uraš_d,29,0.19
Laṣ_d,29,0.19
Kippat-mati_d,29,0.19
Šarrat-Kidmuri_d,28,0.19
Ber_d,28,0.19
Beltiya_d,27,0.18
Zababa_d,26,0.17
Belet_d,26,0.17
Madanu_d,25,0.17
Girra_d,25,0.17
Antu_d,25,0.17
Haldi_d,24,0.16
Damkina_d,24,0.16
Nanna_d,23,0.15
Erra_d,22,0.15
Kulla_d,21,0.14
Aya_d,21,0.14
Anzu_d,21,0.14
Nudimmud_d,20,0.13
Kakka_d,20,0.13
Belet-ekalli_d,20,0.13
Ninagal_d,19,0.13
Ea-šarru_d,19,0.13
Kusu_d,18,0.12
Haya_d,18,0.12
Dayyanu_d,18,0.12
Belet-parṣi_d,18,0.12
Baba_d,18,0.12
Sebettu_d,17,0.11
Dumuzi_d,16,0.11
Ṣalam_d,15,0.10
Kittu_d,15,0.10
Ištar-Bit-Kidmuri_d,15,0.10
Šakkan_d,14,0.09
Ninšiku_d,14,0.09
Mašmaš_d,14,0.09
Ištaran_d,14,0.09
Belet-Arbail_d,14,0.09
Belet-Akkad_d,14,0.09
Annunitu_d,14,0.09
Amurru_d,14,0.09
Palil_d,13,0.09
Ištar-Uruk_d,13,0.09
Belet-Nineveh_d,13,0.09
Belet-balaṭi_d,13,0.09
Belet-Babili_d,13,0.09
Asalluhi_d,13,0.09
Parak-šimati_d,12,0.08
Ninkura_d,12,0.08
Išum_d,12,0.08
Bel-agu_d,12,0.08
