Name,Absolute frequency,Relative frequency
Aššur_d,2447,11.76
Šamaš_d,1879,9.03
Sin_d,1789,8.60
Marduk_d,1373,6.60
Nabu_d,1336,6.42
Enlil_d,646,3.10
Adad_d,641,3.08
Ištar_d,583,2.80
Bel_d,554,2.66
Ninurta_d,449,2.16
Ea_d,436,2.10
Nergal_d,379,1.82
Mullissu_d,313,1.50
Anu_d,303,1.46
Ištar_Nineveh_d,239,1.15
Ištar_Arbail_d,224,1.08
Nusku_d,185,0.89
Zarpanitu_d,183,0.88
Tašmetu_d,165,0.79
Belet-ili_d,147,0.71
Ningal_d,125,0.60
Igigi_d,122,0.59
Anzu_d,120,0.58
Anunnaki_d,114,0.55
Gula_d,109,0.52
Nanaya_d,80,0.38
An_d,75,0.36
Erra_d,72,0.35
Šeruʾa_d,69,0.33
Enki_d,58,0.28
Aya_d,57,0.27
Dumuzi_d,56,0.27
Asalluhi_d,51,0.25
Ninlil_d,50,0.24
Tiamat_d,48,0.23
Nisaba_d,48,0.23
Šala_d,45,0.22
Dagan_d,44,0.21
Antu_d,44,0.21
Zababa_d,43,0.21
Uraš_d,43,0.21
Damkina_d,42,0.20
Baba_d,42,0.20
Ištar-Aššuritu_d,38,0.18
Šarrat-nipha_d,36,0.17
Nudimmud_d,36,0.17
Ninkarrak_d,36,0.17
Kakka_d,35,0.17
Namtar_d,34,0.16
Utu_d,32,0.15
Sebettu_d,32,0.15
Ištaran_d,32,0.15
Girra_d,31,0.15
Ber_d,31,0.15
Laṣ_d,29,0.14
Kippat-mati_d,29,0.14
Šarrat-Kidmuri_d,28,0.13
Nanna_d,28,0.13
Madanu_d,28,0.13
Ereškigal_d,28,0.13
Ninŋirsuk_d,27,0.13
Beltiya_d,27,0.13
Papsukkal_d,26,0.12
Belet_d,26,0.12
Išum_d,24,0.12
Haldi_d,24,0.12
Belet-ekalli_d,24,0.12
Kusu_d,23,0.11
Bel-aliya_d,23,0.11
Gilgameš_d,22,0.11
Ninagal_d,21,0.10
Lugalira_d,21,0.10
Kulla_d,21,0.10
Kittu_d,21,0.10
Haya_d,21,0.10
Ugur_d,20,0.10
Nintinuga_d,20,0.10
Ninŋešzidak_d,20,0.10
Ninmah_d,20,0.10
Išhara_d,20,0.10
Ea-šarru_d,19,0.09
Dayyanu_d,18,0.09
Belet-parṣi_d,18,0.09
Annunitu_d,18,0.09
Tišpak_d,17,0.08
Ṣalam_d,17,0.08
Niššiku_d,17,0.08
Ninimma_d,17,0.08
Belet-Babili_d,17,0.08
Šakkan_d,16,0.08
Kubu_d,16,0.08
Belet-balaṭi_d,16,0.08
Anšar_d,16,0.08
Palil_d,15,0.07
Ninšubur_d,15,0.07
Mašmaš_d,15,0.07
Manungal_d,15,0.07
Ištar-Bit-Kidmuri_d,15,0.07
Inanak_d,15,0.07
Birdu_d,15,0.07
Asakku_d,15,0.07
Uttu_d,14,0.07
Šarur_d,14,0.07
