Royal,Deity,Co-occurrences,Relative frequency
Sargon_II,Aššur,318,35.45
Sargon_II,Marduk,74,8.25
Sargon_II,Šamaš,74,8.25
Sargon_II,Adad,67,7.47
Sargon_II,Nabu,66,7.36
Sargon_II,Enlil,50,5.57
Sargon_II,Haldi,37,4.12
Sargon_II,Sin,36,4.01
Sargon_II,Ea,30,3.34
Sargon_II,Ištar,23,2.56
Sargon_II,Ninurta,21,2.34
Sargon_II,Anu,19,2.12
Sargon_II,Mullissu,15,1.67
Sargon_II,Bel,13,1.45
Sargon_II,Bagbartu,11,1.23
Sargon_II,Belet-ili,10,1.11
Sargon_II,Nergal,8,0.89
Sargon_II,Ištar_Nineveh,4,0.45
Sargon_II,Ningal,4,0.45
Sargon_II,Ninšiku,4,0.45
Sargon_II,Nisaba,3,0.33
Sargon_II,Kulla,2,0.22
Sargon_II,Tašmetu,2,0.22
Sargon_II,Zarpanitu,2,0.22
Sargon_II,Aya,1,0.11
Sargon_II,Belet-Ninua,1,0.11
Sargon_II,Damkina,1,0.11
Sargon_II,Sebettu,1,0.11
Sennacherib,Aššur,456,54.68
Sennacherib,Adad,42,5.04
Sennacherib,Ištar,41,4.92
Sennacherib,Šamaš,38,4.56
Sennacherib,Nergal,27,3.24
Sennacherib,Sin,25,3.00
Sennacherib,Ištar_Nineveh,23,2.76
Sennacherib,Ištar_Arbail,22,2.64
Sennacherib,Enlil,18,2.16
Sennacherib,Igigi,18,2.16
Sennacherib,Ninšiku,16,1.92
Sennacherib,Ea,15,1.80
Sennacherib,Bel,14,1.68
Sennacherib,Nabu,11,1.32
Sennacherib,Belet-ili,9,1.08
Sennacherib,Mullissu,7,0.84
Sennacherib,Zababa,6,0.72
Sennacherib,Haya,5,0.60
Sennacherib,Nanna,5,0.60
Sennacherib,Anu,4,0.48
Sennacherib,Tiamat,4,0.48
Sennacherib,Erra,3,0.36
Sennacherib,Šala,3,0.36
Sennacherib,Anunnaki,2,0.24
Sennacherib,Kakka,2,0.24
Sennacherib,Kulla,2,0.24
Sennacherib,Kusu,2,0.24
Sennacherib,Ninagal,2,0.24
Sennacherib,Ningal,2,0.24
Sennacherib,Šeruʾa,2,0.24
Sennacherib,Ištar-Bit-Kidmuri,1,0.12
Sennacherib,Kippat-mati,1,0.12
Sennacherib,Madanu,1,0.12
Sennacherib,Marduk,1,0.12
Sennacherib,Nusku,1,0.12
Sennacherib,Sebettu,1,0.12
Sennacherib,Tišpak,1,0.12
Sennacherib,Šarur,1,0.12
Esarhaddon,Aššur,276,28.11
Esarhaddon,Šamaš,150,15.27
Esarhaddon,Marduk,97,9.88
