Royal,Deity,Absolute frequency,Relative frequency
Pre-Sargonid,Ereškigal,3,27.27
Pre-Sargonid,Šamaš,3,27.27
Pre-Sargonid,Anunnaki,2,18.18
Pre-Sargonid,Biṭi,1,9.09
Pre-Sargonid,Ištar,1,9.09
Pre-Sargonid,Ninŋešzidak,1,9.09
Sargonid,Šamaš,7,11.66
Sargonid,Nabu,6,10
Sargonid,Aššur,5,8.33
Sargonid,Sin,4,6.66
Sargonid,Marduk,3,5
Sargonid,Nanaya,3,5
Sargonid,Antu,2,3.33
Sargonid,Asalluhi,2,3.33
Sargonid,Bel,2,3.33
Sargonid,Belet-ili,2,3.33
Sargonid,Ea,2,3.33
Sargonid,Gilgameš,2,3.33
Sargonid,Ištar,2,3.33
Sargonid,Ištar_Arbail,2,3.33
Sargonid,Ištar_Nineveh,2,3.33
Sargonid,Mullissu,2,3.33
Sargonid,Tašmetu,2,3.33
Sargonid,Adad,1,1.66
Sargonid,Banitu,1,1.66
Sargonid,Belet-Arbail,1,1.66
Sargonid,Belet-Babili,1,1.66
Sargonid,Belet-Ninua,1,1.66
Sargonid,Iqbi-damiq,1,1.66
Sargonid,Kusu,1,1.66
Sargonid,Ningal,1,1.66
Sargonid,Ningirim,1,1.66
Sargonid,Ninurta,1,1.66
