Royal,Deity,Co-occurrences,Percentage
Naqi’a,Nabu ,6,11.54
Naqi’a,Šamaš,6,11.54
Naqi’a,Aššur,4,7.69
Naqi’a,Sin,4,7.69
Naqi’a,Marduk,3,5.77
Naqia,Nanaya,3,5.77
Naqi’a,Asalluhi,2,3.85
Naqi’a,Bel,2,3.85
Naqi’a,Ea,2,3.85
Naqi’a,Ištar_Arbail,2,3.85
Naqi’a,Ištar_Nineveh,2,3.85
Naqi’a,Mullissu,2,3.85
Naqi’a,Tašmetu,2,3.85
Naqi’a,Adad,1,1.92
Naqi’a,Banitu,1,1.92
Naqi’a,Belet-Arbail,1,1.92
Naqi’a,Belet-Babili,1,1.92
Naqi’a,Belet-ili,1,1.92
Naqi’a,Belet-Ninua,1,1.92
Naqia,Iqbi-damiq,1,1.92
Naqi’a,Ištar,1,1.92
Naqi’a,Kusu,1,1.92
Naqi’a,Ningal,1,1.92
Naqi’a,Ningirim,1,1.92
Naqi’a,Ninurta,1,1.92
other queens,Šamaš,4,21.05
other queens,Ereškigal,3,15.79
other queens,Antu,2,10.53
other queens,Anunnaki,2,10.53
other queens,Gilgameš,2,10.53
other queens,Ištar,2,10.53
other queens,Aššur,1,5.26
other queens,Belet-ili,1,5.26
other queens,Biṭi,1,5.26
other queens,Ninŋešzidak,1,5.26
